"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @HillaryClinton: Carter.
Bush.
Clinton.
Bush.
Obama.

Not one of them believes Donald Trump has what it takes to be president. https://t…",FALSE,0,NA,2016-10-18 22:13:29,FALSE,NA,"788503294872199168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","little_kk13",11919,TRUE,FALSE,NA,NA
"2","Donald Trump calls on his goons to stop 'other communities' from stealing the election https://t.co/V6ngnes0Sj",FALSE,0,NA,2016-10-18 22:13:29,FALSE,NA,"788503294855512064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoymcdMcdonald",0,FALSE,FALSE,NA,NA
"3","RT @PedroPascal1: Donald Trump:  he can't read this but he is afraid of it. #Genius https://t.co/96ijD5zEV7",FALSE,0,NA,2016-10-18 22:13:29,FALSE,NA,"788503294255718400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Stupidsong",543,TRUE,FALSE,NA,NA
"4","RT @HillaryClinton: Carter.
Bush.
Clinton.
Bush.
Obama.

Not one of them believes Donald Trump has what it takes to be president. https://t…",FALSE,0,NA,2016-10-18 22:13:29,FALSE,NA,"788503294054367234",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JonPruett",11919,TRUE,FALSE,NA,NA
"5","RT @jamiedupree: Donald Trump says his term limits amendment would be 6 years max in the House and 12 years in the Senate",FALSE,0,NA,2016-10-18 22:13:29,FALSE,NA,"788503293194403840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ElitesTweets",26,TRUE,FALSE,NA,NA
"6","RT @Olivianuzzi: In this great, prophetic @timkmak and @BrandyZadrozny story https://t.co/kESJTdSgYs",FALSE,0,NA,2016-10-18 22:13:29,FALSE,NA,"788503292771008512",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Bernade97386460",48,TRUE,FALSE,NA,NA
"7","RT @ddale8: Donald Trump said 22 false things yesterday. #TrumpCheck https://t.co/qVUbiBfMMK",FALSE,0,NA,2016-10-18 22:13:29,FALSE,NA,"788503291873329152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Robyn780",3607,TRUE,FALSE,NA,NA
"8","RT @ddale8: Donald Trump said 22 false things yesterday. #TrumpCheck https://t.co/qVUbiBfMMK",FALSE,0,NA,2016-10-18 22:13:28,FALSE,NA,"788503290485104641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GypsySpirit46",3607,TRUE,FALSE,NA,NA
"9","¿Qué celebridades apoyan a Hillary Clinton y Donald Trump? https://t.co/fKuNOekLBC",FALSE,0,NA,2016-10-18 22:13:28,FALSE,NA,"788503290057285632",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","CarlaArm_ijo",0,FALSE,FALSE,NA,NA
"10","RT @SykesCharlie: You are right. This election IS a binary choice for conservatives: Donald Trump or your self-respect.",FALSE,0,NA,2016-10-18 22:13:28,FALSE,NA,"788503289658617856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","davidgaw",259,TRUE,FALSE,NA,NA
"11","@LouDobbs @seanhannity @TrumpNN  https://t.co/Gh0JLDOgyp",FALSE,0,"LouDobbs",2016-10-18 22:13:28,FALSE,NA,"788503289583271936","26487169","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","msfab29",0,FALSE,FALSE,NA,NA
"12","Donald Trump's threats risk silencing women: https://t.co/enV9HzFVzj",FALSE,0,NA,2016-10-18 22:13:28,FALSE,NA,"788503289453121536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DateSafeProject",1,FALSE,FALSE,NA,NA
"13","@onfirenews2 Donald Trump was a Democrat when this went down with Billy Bush, failure of DNC to acknowledge..",FALSE,0,"onfirenews2",2016-10-18 22:13:28,FALSE,"788442071195537408","788503288543150080","787799847915118592","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MMA_FIGHTER2",0,FALSE,FALSE,NA,NA
"14","RT @HillaryClinton: Carter.
Bush.
Clinton.
Bush.
Obama.

Not one of them believes Donald Trump has what it takes to be president. https://t…",FALSE,0,NA,2016-10-18 22:13:28,FALSE,NA,"788503288484339712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","malaminkut",11919,TRUE,FALSE,NA,NA
"15","RT @puppymnkey: @ChrisCuomo this was reported in the NYTimes 12-26-90 and put in SPY Magazine's scrap book for Donald Trump.",FALSE,0,NA,2016-10-18 22:13:28,FALSE,NA,"788503288337555456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TravelingUS",1,TRUE,FALSE,NA,NA
"16","RT @rolandoteleSUR: Este miércoles llega a los cines de #EEUU: “Michael Moore in TrumpLand”, último filme de @MMFlint sobre Donald Trump. #…",FALSE,0,NA,2016-10-18 22:13:28,FALSE,NA,"788503288035610624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adrianobolo",18,TRUE,FALSE,NA,NA
